City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Coquimbo,CL,-29.9533,-71.3436,53.33,93,0,8.05,clear sky
80,Hobart,AU,-42.8794,147.3294,50.05,85,40,13.8,scattered clouds
81,College,US,64.8569,-147.8028,55.35,90,100,11.5,overcast clouds
82,Sorong,ID,-0.8833,131.25,79.16,85,100,8.81,overcast clouds
83,Katangli,RU,51.7102,143.2326,61.14,75,24,16.98,few clouds
84,Butaritari,KI,3.0707,172.7902,82.44,74,100,8.72,overcast clouds
85,New Bedford,US,41.6362,-70.9342,79.12,81,20,14.0,few clouds
86,Cayenne,GF,4.9333,-52.3333,82.09,1,0,8.01,clear sky
87,Ware,GB,51.8126,-0.0283,60.42,70,65,5.75,broken clouds
88,Dingle,PH,10.9995,122.6711,81.16,80,100,3.4,overcast clouds
89,Leningradskiy,RU,69.3833,178.4167,34.21,99,100,7.16,light snow
90,Harper,LR,4.375,-7.7169,73.38,76,48,7.29,scattered clouds
91,Lavrentiya,RU,65.5833,-171.0,44.92,72,83,10.27,broken clouds
92,Padang,ID,-0.9492,100.3543,78.85,72,21,1.92,few clouds
93,North Myrtle Beach,US,33.816,-78.68,83.05,84,20,4.61,few clouds
94,Iqaluit,CA,63.7506,-68.5145,44.33,87,75,0.0,light rain
95,Caravelas,BR,-17.7125,-39.2481,73.36,79,0,10.27,clear sky
96,Namatanai,PG,-3.6667,152.4333,84.24,65,100,2.73,overcast clouds
97,Ancud,CL,-41.8697,-73.8203,39.22,87,2,7.58,clear sky
98,Cam Ranh,VN,11.9214,109.1591,84.16,70,20,3.44,few clouds
99,Nikolskoye,RU,59.7035,30.7861,67.91,83,77,5.46,broken clouds
100,Chumikan,RU,54.7183,135.315,53.69,97,100,26.22,light rain
101,Kruisfontein,ZA,-34.0033,24.7314,50.81,88,73,6.42,broken clouds
102,Sangar,RU,63.9242,127.4739,59.18,96,100,17.92,moderate rain
103,Samarai,PG,-10.6167,150.6667,80.74,84,35,11.1,scattered clouds
104,Vaini,TO,-21.2,-175.2,78.96,89,75,8.05,broken clouds
105,Tuktoyaktuk,CA,69.4541,-133.0374,78.8,38,75,11.5,broken clouds
106,Qasigiannguit,GL,68.8193,-51.1922,46.65,96,100,6.62,light rain
107,Luderitz,NA,-26.6481,15.1594,60.37,60,100,4.34,overcast clouds
108,Embonas,GR,36.2269,27.8564,72.84,88,1,11.03,clear sky
109,Galbshtadt,RU,53.2264,78.9845,62.38,56,0,3.91,clear sky
110,Ormara,PK,25.2088,64.6357,80.42,86,24,8.43,few clouds
111,Lebu,CL,-37.6167,-73.65,50.76,91,100,2.46,overcast clouds
112,Dikson,RU,73.5069,80.5464,41.88,100,100,8.95,overcast clouds
113,Chara,RU,56.9064,118.2631,57.4,69,100,2.19,overcast clouds
114,Mecca,SA,21.4267,39.8261,85.59,50,100,5.41,overcast clouds
115,Sembakung,ID,3.8167,117.25,81.01,80,52,2.24,broken clouds
116,Ghanzi,BW,-21.5667,21.7833,58.73,24,0,7.83,clear sky
117,Pervomayskiy,RU,53.2485,40.2871,65.62,72,15,7.05,few clouds
118,Provideniya,RU,64.3833,-173.3,50.99,55,40,10.11,scattered clouds
119,Tiksi,RU,71.6872,128.8694,41.58,86,100,9.95,overcast clouds
120,Margate,GB,51.3813,1.3862,60.87,77,100,3.94,overcast clouds
121,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.44,84,0,19.17,clear sky
122,Yellowknife,CA,62.456,-114.3525,70.32,37,75,6.91,broken clouds
123,Sur,OM,22.5667,59.5289,86.83,62,100,3.67,overcast clouds
124,Chingirlau,KZ,51.095,54.0814,67.64,52,93,9.22,overcast clouds
125,Knysna,ZA,-34.0363,23.0471,54.54,79,12,4.14,few clouds
